Layer: model.layers.14.self_attn.v_proj                   | Rank: 320/320
Layer: model.layers.14.self_attn.o_proj                   | Rank: 922/960
Layer: model.layers.14.mlp.gate_proj                      | Rank: 960/960
Layer: model.layers.14.mlp.up_proj                        | Rank: 960/960
Layer: model.layers.14.mlp.down_proj                      | Rank: 960/960
Layer: model.layers.15.self_attn.q_proj                   | Rank: 889/960
Layer: model.layers.15.self_attn.k_proj                   | Rank: 320/320
Layer: model.layers.15.self_attn.v_proj                   | Rank: 320/320
Layer: model.layers.15.self_attn.o_proj                   | Rank: 914/960
Layer: model.layers.15.mlp.gate_proj                      | Rank: 960/960
Layer: model.layers.15.mlp.up_proj                        | Rank: 960/960
Layer: model.layers.15.mlp.down_proj                      | Rank: 960/960
Layer: model.layers.16.self_attn.q_proj                   | Rank: 888/960
Layer: model.layers.16.self_attn.k_proj                   | Rank: 320/320
Layer: model.layers.16.self_attn.v_proj                   | Rank: 320/320
Layer: model.layers.16.self_attn.o_proj                   | Rank: 917/960
Layer: model.layers.16.mlp.gate_proj                      | Rank: 960/960
Layer: model.layers.16.mlp.up_proj                        | Rank: 960/960
Layer: model.layers.16.mlp.down_proj                      | Rank: 960/960
Layer: model.layers.17.self_attn.q_proj                   | Rank: 905/960
Layer: model.layers.17.self_attn.k_proj                   | Rank: 320/320
Layer: model.layers.17.self_attn.v_proj                   | Rank: 320/320
Layer: model.layers.17.self_attn.o_proj                   | Rank: 915/960
Layer: model.layers.17.mlp.gate_proj                      | Rank: 960/960
Layer: model.layers.17.mlp.up_proj                        | Rank: 960/960
Layer: model.layers.17.mlp.down_proj                      | Rank: 960/960
Layer: model.layers.18.self_attn.q_proj                   | Rank: 901/960
Layer: model.layers.18.self_attn.k_proj                   | Rank: 320/320
Layer: model.layers.18.self_attn.v_proj                   | Rank: 320/320
Layer: model.layers.18.self_attn.o_proj                   | Rank: 907/960
Layer: model.layers.18.mlp.gate_proj                      | Rank: 960/960
Layer: model.layers.18.mlp.up_proj                        | Rank: 960/960
Layer: model.layers.18.mlp.down_proj                      | Rank: 960/960
Layer: model.layers.19.self_attn.q_proj                   | Rank: 893/960
Layer: model.layers.19.self_attn.k_proj                   | Rank: 320/320
Layer: model.layers.19.self_attn.v_proj                   | Rank: 320/320
Layer: model.layers.19.self_attn.o_proj                   | Rank: 917/960
Layer: model.layers.19.mlp.gate_proj                      | Rank: 960/960
Layer: model.layers.19.mlp.up_proj                        | Rank: 960/960
Layer: model.layers.19.mlp.down_proj                      | Rank: 960/960
Layer: model.layers.20.self_attn.q_proj                   | Rank: 887/960
Layer: model.layers.20.self_attn.k_proj                   | Rank: 320/320
Layer: model.layers.20.self_attn.v_proj                   | Rank: 320/320
Layer: model.layers.20.self_attn.o_proj                   | Rank: 928/960
Layer: model.layers.20.mlp.gate_proj                      | Rank: 960/960
Layer: model.layers.20.mlp.up_proj                        | Rank: 960/960
Layer: model.layers.20.mlp.down_proj                      | Rank: 960/960
Layer: model.layers.21.self_attn.q_proj                   | Rank: 906/960
Layer: model.layers.21.self_attn.k_proj                   | Rank: 320/320
Layer: model.layers.21.self_attn.v_proj                   | Rank: 320/320
Layer: model.layers.21.self_attn.o_proj                   | Rank: 928/960
Layer: model.layers.21.mlp.gate_proj                      | Rank: 960/960
Layer: model.layers.21.mlp.up_proj                        | Rank: 960/960
Layer: model.layers.21.mlp.down_proj                      | Rank: 960/960
Layer: model.layers.22.self_attn.q_proj                   | Rank: 907/960
Layer: model.layers.22.self_attn.k_proj                   | Rank: 320/320
Layer: model.layers.22.self_attn.v_proj                   | Rank: 320/320
Layer: model.layers.22.self_attn.o_proj                   | Rank: 932/960
Layer: model.layers.22.mlp.gate_proj                      | Rank: 960/960
Layer: model.layers.22.mlp.up_proj                        | Rank: 960/960
Layer: model.layers.22.mlp.down_proj                      | Rank: 960/960
